datetime,open,high,low,close,volume,adx_14,plus_di_14,minus_di_14,adx_signal,williams_r_14,williams_r_signal,cci_20,cci_signal,mfi_14,mfi_signal,aroon_up_25,aroon_down_25,aroon_signal,adx_formula,williams_r_formula,cci_formula,mfi_formula,aroon_formula,live_execution_rule
2026-02-17 10:20:00-05:00,261.2300109863281,261.2799987792969,259.92999267578125,260.090087890625,504368,,,,,,,,,,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 10:25:00-05:00,260.1099853515625,260.29998779296875,259.4100036621094,259.6400146484375,414870,,,,,,,,,,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 10:30:00-05:00,259.6300048828125,259.7998962402344,258.9700012207031,259.510009765625,320015,,,,,,,,,,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 10:35:00-05:00,259.5249938964844,259.9100036621094,259.2820129394531,259.5899963378906,3630575,,5.9472,3.9212,,-30.838,,,,78.501,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 10:40:00-05:00,259.5899963378906,259.9549865722656,259.4200134277344,259.75,0,,5.9937,3.8472,,-49.6219,,,,78.501,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 10:45:00-05:00,259.7300109863281,260.1400146484375,259.67999267578125,260.01141357421875,231405,,6.5821,3.781,,-42.9468,,,,77.3855,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 10:50:00-05:00,259.9800109863281,260.0899963378906,259.0799865722656,259.1600036621094,346713,,6.325,5.9535,,-69.4703,,,,72.904,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 10:55:00-05:00,259.1300048828125,259.3599853515625,258.82000732421875,259.1481018066406,366259,,6.1859,6.8814,,-69.841,,,,67.793,bear_money_flow_fade,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 11:00:00-05:00,259.1700134277344,259.625,258.739990234375,259.1824951171875,282103,,7.0737,6.6243,,-68.7696,,,,71.7615,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 11:05:00-05:00,259.2049865722656,259.8900146484375,259.09600830078125,259.7799987792969,233365,,7.9902,6.3935,,-54.4841,,,,76.1006,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 11:10:00-05:00,259.79998779296875,260.42999267578125,259.6099853515625,260.4049987792969,304620,,10.1489,6.155,,-37.1701,,,,75.9143,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 11:15:00-05:00,260.44000244140625,260.54998779296875,260.04010009765625,260.510009765625,319839,,10.4752,6.0049,,-33.2074,,,,75.9861,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 11:20:00-05:00,260.4800109863281,260.9800109863281,260.3399963378906,260.8699951171875,279128,,12.2842,5.8134,,-19.6232,,,,75.5188,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 11:25:00-05:00,260.8414001464844,260.8599853515625,260.2099914550781,260.2650146484375,213299,,11.8639,6.2884,,-39.9599,bear_fall_from_overbought,,,70.9149,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 11:30:00-05:00,260.2550048828125,260.3299865722656,259.92999267578125,260.2200012207031,255860,,11.6048,7.68,,-33.9287,,,,73.3727,,37.5,0.0,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 11:35:00-05:00,260.1600036621094,260.8399963378906,259.9599914550781,260.75,253873,,13.8853,7.3021,,-10.2683,,,,78.6628,,33.3333,0.0,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 11:40:00-05:00,260.7001037597656,260.8800048828125,260.360107421875,260.3800048828125,200279,21.9321,13.6975,7.0804,,-26.7857,bear_fall_from_overbought,,,82.9168,,29.1667,12.5,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 11:45:00-05:00,260.4100036621094,260.5,260.17999267578125,260.2699890136719,149860,22.1535,13.4273,8.0509,,-31.6971,,,,61.2756,bear_money_flow_fade,25.0,8.3333,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 11:50:00-05:00,260.260009765625,261.04998779296875,260.260009765625,261.04998779296875,195483,23.1371,16.227,7.6498,,-0.0,,,,63.3659,,20.8333,4.1667,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
